LANGUAGE,"English","Czech","German","Polish","Russian","French","Spanish","Italian"

STR_SLX_XEH_VERSION,"2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01"
STR_SLX_XEH2_VERSION,"2.01","2.01","2.01","2.01","2.01","2.01","2.01","2.01"

